EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.01	0.01	0.001
0.01	0.01	1	0.001	0.01
0.01	0.01	0.001	1	0.01
0.001	0.001	0.01	0.01	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.1	1	0.001
0.01	0.1	1	0.001	0.01
0.01	1	0.001	1	0.1
0.001	0.001	0.01	0.1	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.01	0.01	0.001
0.01	0.01	1	0.001	0.01
0.01	0.01	0.001	1	0.01
0.001	0.001	0.01	0.01	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.1	1	0.001
0.01	0.1	1	0.001	0.01
0.01	1	0.001	1	0.1
0.001	0.001	0.01	0.1	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.01	0.01	0.001
0.01	0.01	1	0.001	0.01
0.01	0.01	0.001	1	0.01
0.001	0.001	0.01	0.01	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.1	1	0.001
0.01	0.1	1	0.001	0.01
0.01	1	0.001	1	0.1
0.001	0.001	0.01	0.1	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.01	0.01	0.001
0.01	0.01	1	0.001	0.01
0.01	0.01	0.001	1	0.01
0.001	0.001	0.01	0.01	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.1	1	0.001
0.01	0.1	1	0.001	0.01
0.01	1	0.001	1	0.1
0.001	0.001	0.01	0.1	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.01	0.01	0.001
0.01	0.01	1	0.001	0.01
0.01	0.01	0.001	1	0.01
0.001	0.001	0.01	0.01	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.1	1	0.001
0.01	0.1	1	0.001	0.01
0.01	1	0.001	1	0.1
0.001	0.001	0.01	0.1	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.01	0.01	0.001
0.01	0.01	1	0.001	0.01
0.01	0.01	0.001	1	0.01
0.001	0.001	0.01	0.01	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.1	1	0.001
0.01	0.1	1	0.001	0.01
0.01	1	0.001	1	0.1
0.001	0.001	0.01	0.1	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.01	0.01	0.001
0.01	0.01	1	0.001	0.01
0.01	0.01	0.001	1	0.01
0.001	0.001	0.01	0.01	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.01	0.01	0.001
0.01	0.01	1	0.001	0.01
0.01	0.01	0.001	1	0.001
0.001	0.001	0.01	0.001	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.01	1	0.001
0.01	0.01	1	0.001	0.01
0.01	1	0.001	1	0.001
0.001	0.001	0.01	0.001	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.01	0.01	0.001
0.01	0.01	1	0.001	0.01
0.01	0.01	0.001	1	0.001
0.001	0.001	0.01	0.001	1

EU	AS	AU	NAM	SA
1	1	0.01	0.01	0.001
1	1	0.01	1	0.001
0.01	0.01	1	0.001	0.01
0.01	1	0.001	1	0.001
0.001	0.001	0.01	0.001	1

END
